"Future.ID","Run.ID","time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","dS.lag","Budget.function.N","Budget.function.S","Budget.N","Budget.S","Y.Total_N","Y.Total_S","Consumption.Total_N","Consumption.Total_S","Utility.Consumer.Total_N","Utility.Consumer.Total_S","Policy.Start.Time","Policy.Duration","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","epsilon","rho","alfa","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","labor.growth_N","labor.growth_S","lambda.S","sigma.utility","Yre.0_N","Yce.0_N","Yre.0_S","Yce.0_S","size.factor","TimeStep","EndTime","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Y.Total_N.fwa","Y.Total_S.fwa","Consumption.Total_N.fwa","Consumption.Total_S.fwa","Z.Relative.Gamma","Z.Relative.Eta","Z.Relative.Nu","Z.epsilon"
1,1,2123,140.336417769967,347.887226343778,33.8578853038979,150.147273913583,548.308466976016,1.83721348496704,0.296265274965516,0.22855296727238,2.09173454084038,96.4995442997666,0.426720984893568,46.1337432717426,0.266273349477924,0.77144703272762,1.13853646185158,325.720063922438,1.44033412266502,286.086633881471,0.733726650522076,422.219608222205,2.71265527364715,0.135897286904103,0.478554842839679,2.89110681809679,79.0218103049084,0.349434445168305,27.3327190162169,0.0978029299566275,3.52144515716032,1.06578482204622,581.48188315688,2.57131288731972,545.590320981002,0.902197070043373,660.503693461788,5.23750036302615,0.25,0.25,0.25,0.25,1,4,376.239892886807,147.14371031095,-100,-100,878.515533023984,0.846327049901064,1,-7.43683742202022,0,0,0,0,6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,-83.7151704590929,-83.8278136741848,3.3,100,0,0,0,0,0,0,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,3,2123,141.868683121713,344.129842251936,34.6368757306418,148.434352045841,573.379673770847,1.81067282903696,0.353092040738757,0.260951975259552,2.06846225341743,109.537530840228,0.48437496137549,52.9560211501346,0.291639564058907,0.739048024740448,1.14237217251312,310.22373263087,1.37180934569371,271.561002705804,0.708360435941093,419.481388171337,2.65116724480965,0.164700017917423,0.565639273233358,2.83349391387234,92.7227180283076,0.410019859121176,32.7238105486487,0.1111077999014,3.43436072676664,1.0687722245436,562.97940462154,2.48949492723645,526.75340141998,0.8888922000986,655.430967547317,5.1024272380469,0.25,0.25,0.25,0.25,1,4,373.769386579334,146.006251597687,-100,-100,853.444326229153,0.863194915597262,1,-7.06322464184415,15.5111866315435,28.148970231077,262.584976121812,417.882898407372,6390.88504635643,8503.54075067209,5694.4482291142,1894.2661634465,-83.7152036392932,-83.8280342694255,3.3,100,0.05,0,0,0,0,0.05,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,5,2123,173.441742760604,281.484956817712,36.1600649122049,138.222417314161,627.482851011433,1.30076192671156,0.684182976253338,0.406240287367934,1.64072593384221,194.834070335539,2.58466877707126,98.561420309731,0.823390963255084,0.593759712632066,1.26135759369134,236.358231629866,1.04517610026727,187.384000232772,0.176609036744916,397.732367418906,2.45569270026478,0.191964029987479,0.644194036591845,2.6514951703018,99.8439565851508,0.441509976019537,37.6557188198787,0.134883582184237,3.35580596340816,1.07973410924579,520.118048113821,2.29996200875932,481.709379800115,0.865116417815763,619.676006984342,4.79689103949567,0.25,0.25,0.25,0.25,1,4,350.775525734874,138.040536168156,-100,-100,799.341148988567,0.892971385830337,1,-5.69997088365623,6.48783591932396,26.0059024056911,141.271339245189,404.2060597771,6351.93311088726,8373.15939289335,5611.11024232351,1865.21891258986,-83.7156212378983,-83.8293686835422,3.3,100,0.05,2,0,0.17,0,0.05,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhauds+TechnologyPolicy",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,7,2123,174.215808766646,280.234289351821,40.3071255976449,133.001656075852,658.231477941139,1.28786149572505,0.697958465823122,0.41105744331901,1.6305174737399,199.769778016056,2.65014587516099,100.465785010837,0.833730487978853,0.588942556680989,1.26606586123762,234.700524450231,1.03784571911892,185.377816143628,0.166269512021147,398.171779782802,1.97815697001597,0.295832848999688,0.913182126006622,2.21655250287982,205.623872332727,0.90926876345532,64.9371988463625,0.22404563603364,3.08681787399338,1.12051396146885,486.547424059256,2.15151270919003,434.218082763962,0.77595436396636,630.101688383024,4.61388942621311,0.25,0.25,0.25,0.25,1,4,350.857963844223,138.681058551484,-100,-100,768.592522058862,0.906958696833344,1,-5.15703227056094,2.69350916251175,17.6096392938526,79.4292912032636,273.914066510876,6360.2114112634,8564.71932280611,5614.49611060756,1885.09322687289,-83.7154856216647,-83.8271065473896,3.3,100,0.05,2,0,0.18,0.15,0.05,0,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TraditionalGreenClimateFund",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,9,2123,175.782129222714,277.737289472405,40.6417431701175,132.31769951994,661.982935030962,1.26218072002412,0.726649222565563,0.420843569770276,1.61031058184457,210.163646592088,2.78803093569063,104.408999834728,0.853819263099798,0.579156430229724,1.27581617774498,231.37837632311,1.02315518010079,181.357142478061,0.146180736900202,399.165732480097,1.9604461385533,0.301202149811194,0.925919619345538,2.20076101886791,207.991401891699,0.938132738748393,66.1561978224621,0.231589574575568,3.07408038065446,1.12258173055035,483.376301980093,2.13749000735597,430.593415895977,0.768410425424432,628.584876056234,4.59106304469411,0.25,0.25,0.25,0.25,1,4,351.081806184632,138.323733276149,-100,-100,764.841064969038,0.9085492713142,1,-5.07518628606179,1.72613037322687,17.3553412396196,65.4489900101467,271.773653656872,6377.66343290939,8557.08223103285,5621.55787738392,1883.2933470656,-83.7154040137364,-83.8271947994575,3.3,100,0.05,2,0.01,0.2,0.15,0.05,0.01,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+R&DGreenClimateFund",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,11,2123,174.997140834928,278.983080563479,38.5951696551125,134.971752233957,645.294242147645,1.27498914573811,0.712122851404425,0.415929762762224,1.62036950161066,204.878922778132,2.7179237895747,102.416101565309,0.843885650032965,0.584070237237776,1.2708888597421,233.038340397309,1.0304955412369,183.366419975228,0.156114349967035,398.648498027513,2.19277413456822,0.240757651198717,0.776163341700508,2.41003286393182,141.910489454058,0.721657412020723,50.0507349261451,0.183345439731192,3.22383665829949,1.09907939260072,501.017996459803,2.21550158034525,455.85241596993,0.816654560268808,621.308613346256,4.69176240949147,0.25,0.25,0.25,0.25,1,4,350.959308067708,137.823425307559,-100,-100,781.529757852355,0.901287909964421,1,-5.37364745678902,5.60081803561333,22.6386627501033,128.228645064545,352.632373369355,6368.77508293082,8435.27152992145,5617.9694374988,1870.9295388496,-83.7154939840187,-83.8285286687029,3.3,100,0.05,2,0,0.19,0,0.05,0.15,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TechnologyPolicy.Both",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,13,2123,174.997140838572,278.9830805531,42.069753162547,130.645813385409,665.713306532151,1.27498914568854,0.71212285145979,0.415929762781111,1.62036950157167,204.878922784341,2.71792378965707,102.416101570878,0.843885650050257,0.584070237218889,1.27088885976092,233.038340386254,1.03049554118801,183.366419963814,0.156114349949743,398.648498021487,1.89935638237511,0.320889108210336,0.9717367073913,2.14652152732486,217.692147655911,1.1070298784746,70.9913697204096,0.270339870520379,3.0282632926087,1.13013099976566,474.882130493668,2.099928781043,420.200959527824,0.729660129479621,626.868691847985,4.56825367211384,0.25,0.25,0.25,0.25,1,4,350.95930806221,137.861838239374,-100,-100,761.110693467849,0.910107961663511,1,-4.98601838528286,2.04481680291788,16.4877088592247,71.1127746982372,262.915444758948,6368.77508287952,8539.17947844522,5617.96943745263,1878.83591978542,-83.7154320708683,-83.8274959617093,3.3,100,0.05,2,0,0.19,0.15,0.05,0.15,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TraditionalGreenClimateFund+R&DS",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,15,2123,175.782129221414,277.737289467361,36.3576573045903,137.479307916343,632.236652695174,1.26218072001501,0.726649222576045,0.420843569773792,1.61031058183743,210.163646590899,2.78803093567487,104.4089998346,0.853819263100395,0.579156430226208,1.27581617774852,231.378376318464,1.02315518008025,181.357142473914,0.146180736899605,399.165732474504,2.43792178623561,0.19477282367802,0.652083207177163,2.63504509179676,100.679436403372,0.454108557131227,38.2078609268588,0.138041327986124,3.34791679282284,1.08085710816241,516.907002230488,2.28576276386322,478.238056008432,0.861958672013876,617.29865519771,4.76906350650289,0.25,0.25,0.25,0.25,1,4,351.081806179674,137.510873007621,-100,-100,794.587347304826,0.895252347156023,1,-5.5981115409401,5.12841525804574,25.8364460221689,121.26395735379,402.89293458484,6377.66343280373,8362.94505245038,5621.5578772915,1862.94317692223,-83.7155010626463,-83.8294737234171,3.3,100,0.05,2,0.01,0.2,0,0.05,0.01,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+CoR&DGreenClimateFund",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
1,17,2123,175.782129221643,277.737289541219,37.818715705708,135.752475657003,643.760285946343,1.26218072023879,0.72664922231838,0.420843569687365,1.61031058201284,210.16364658218,2.7880309355592,104.408999818896,0.853819263045974,0.579156430312635,1.27581617766129,231.37837639091,1.0231551804006,181.357142543098,0.146180736954026,399.165732539941,2.23144251532606,0.232485831430264,0.754526585219956,2.44526802195684,138.139523551309,0.623070032606767,48.0187014119818,0.166548078275149,3.24547341478004,1.09582389201701,505.056993349866,2.23336202459311,460.892481929957,0.833451921724851,622.14918870286,4.70091012770873,0.25,0.25,0.25,0.25,1,4,351.081806238172,138.026272003081,-100,-100,783.063714053657,0.900595666366505,1,-5.40637310778255,5.12675877688138,22.9841234908198,121.23741947159,356.828499234786,6377.66343355483,8446.78701943192,5621.557877962,1873.59867925506,-83.715461324591,-83.8283356098178,3.3,100,0.05,2,0.01,0.2,0,0.05,0.01,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+CoR&DGreenClimateFund+TecS",6409.21816450233,8536.5579298194,5711.25430638803,1901.73169281552,NA,NA,NA,-0.97182531580755
2,2,2123,185.354774353162,348.55424761861,48.566169120452,150.345099585926,525.232853878552,1.52671728904218,0.184062579967489,0.155450043841891,1.59258377828921,57.7085060561129,0.255187013780131,36.2357741192773,0.243934659842346,0.844549956158109,1.04314255803598,313.526552036302,1.38641441310453,300.559640310917,0.756065340157654,371.235058092415,2.13209296699513,0.0483922092782474,0.184633990409228,2.15743183972964,28.2526417014876,0.124933181603978,13.095496775939,0.0789465911623689,3.81536600959077,1.01188450650452,583.826242340775,2.58167964363091,576.969247565177,0.921053408837631,612.078884042263,5.35845784591427,0.25,0.25,0.25,0.25,1,4,330.807560266151,136.355873392515,-100,-100,901.591146121448,0.828365505004527,1,-7.92996589805969,0,0,0,0,5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,-83.7232825845273,-83.8457996789998,3.3,100,0,0,0,0,0,0,0,0,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,4,2123,188.01805435693,343.616910454319,49.5342646608052,148.505079423485,556.50868779232,1.49780830003542,0.253583834037006,0.202287096524189,1.56723064265771,74.3722449503571,0.328874067170479,47.4545627976216,0.275273212081186,0.797712903475811,1.04634928423126,293.284645816593,1.29690470380097,280.293254113577,0.724726787918814,367.32435896459,2.08679527186187,0.0673018681035874,0.252231801011166,2.11377803196138,38.1828916376092,0.168844746821508,18.0638132577143,0.087870097030878,3.74776819898883,1.01293023827653,567.337768081567,2.50876761045669,560.095598534875,0.912129902969122,605.325113453817,5.19374995385185,0.25,0.25,0.25,0.25,1,4,327.286523560069,134.8459784026,-100,-100,870.315312207681,0.852111730821049,1,-7.50777075214204,14.6642322908296,28.3668884040783,241.489602417201,409.592892288267,5556.03735375874,7698.30850907586,4950.3760017111,1714.87911002658,-83.723373845085,-83.8462234463284,3.3,100,0.05,0,0,0,0,0.05,0,0,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,6,2123,233.785002368247,276.348700614714,51.4715574884257,137.620128152671,638.415725906757,1.04767816738344,1.0593389003784,0.514407269334712,1.21854574568922,217.211058235332,2.88152189854991,146.168552459415,0.894544373486704,0.485592730665288,1.16309166653011,168.13605890367,0.743497652472027,144.559593832596,0.105455626513296,345.734921182462,1.93271053613914,0.0914701178254551,0.335218037879742,1.96644590828607,47.3397586814279,0.209336412889274,24.0737660171333,0.111130954577067,3.66478196212026,1.01745495329804,517.543431744151,2.28857705517264,508.664712935503,0.888869045422933,564.645238733434,4.73264291233871,0.25,0.25,0.25,0.25,1,4,303.770620126024,125.782364824022,-100,-100,788.408274093243,0.898149362081452,1,-5.52597005938128,2.22801718262123,25.8771715872076,90.9128814137877,393.606751713044,5499.99260743191,7555.06783675169,4849.8467091193,1682.96345640201,-83.7240781173532,-83.8478203707937,3.3,100,0.05,2,0,0.18,0,0.05,0,0,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhauds+TechnologyPolicy",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,8,2123,231.044769612386,279.626246626868,55.2405936658797,134.518482194619,665.995054726157,1.07285978108407,0.963329002441673,0.490661015674724,1.23480809522758,201.469500517253,2.67269439386188,137.05318347731,0.86942137772799,0.509338984325276,1.15095012134752,175.676617236217,0.776842001418553,152.636169003168,0.13057862227201,344.400894264665,1.65820916671419,0.168806532430387,0.577705643309077,1.71051256437451,107.103771123846,0.473612875909645,47.5874119544325,0.159938618814063,3.42229435669092,1.03154209897655,482.202109611428,2.13229772870173,467.45751830182,0.840061381185937,563.214713453777,4.56652638349646,0.25,0.25,0.25,0.25,1,4,303.329682041312,124.759825760426,-100,-100,760.828945273843,0.910224772575128,1,-5.14890918504759,2.09199794117724,21.3108413184786,79.8134236756536,311.989569775038,5485.95885348873,7596.97153791234,4845.63516567084,1680.57200046663,-83.7240160316871,-83.8473675164853,3.3,100,0.05,2,0,0.16,0.12,0.05,0,0.12,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TraditionalGreenClimateFund",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,10,2123,257.93510228489,250.474561857788,89.4372607191254,97.74025735018,1056.38459101805,0.914659994884531,10.8496956918053,0.915609647200345,1.14184229572938,394.266271245347,5.23033635434077,279.684577198759,0.993941263706924,0.0843903527996552,1.24837896280084,29.4345287444273,0.130159486107858,23.5781999068524,0.00605873629307618,328.826562223481,1.05423261419492,6.1476694030719,3.44037702719142,1.22272916849411,428.118138090037,2.14303267630985,343.130585364995,0.8630961774931,0.559622972808577,1.15982862987772,68.2463138174917,0.301785199700948,58.8417220091271,0.1369038225069,450.798728408204,1.20888767737837,0.25,0.25,0.25,0.25,1,4,282.685545104595,99.1861598988685,0.901670829505179,0.895728835364594,370.439408981949,0.996643797299242,1,0.854209638283812,2.48144226376442,32.9408213343101,263.768148223044,1082.74318973432,5060.72606100174,6359.06665693796,4353.63116219828,1397.6821575226,17.185121575923,17.030687925942,3.3,100,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+R&DGreenClimateFund",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,12,2123,235.138133172793,274.758418630641,53.7600593923965,135.29663572922,659.760807910236,1.03540623893092,1.11046119106786,0.526169917631124,1.21080876702267,225.440517779033,2.99069390885666,150.81392237524,0.90581122842411,0.473830082368876,1.16940455011441,164.442324387235,0.727163958440355,140.620561439706,0.09418877157589,346.533552226245,1.75898650761227,0.133320355356435,0.470547818986291,1.80322535301675,77.7271203101221,0.365019304224064,36.6388217385439,0.138674748039148,3.52945218101371,1.02515019030165,495.558627090136,2.19136024899258,483.400999949399,0.861325251960852,561.304908029287,4.60459743744497,0.25,0.25,0.25,0.25,1,4,304.075310714338,124.71852253435,-100,-100,767.063192089764,0.907609944275234,1,-5.19937510576578,1.56373052675802,23.4869488660282,82.1863724027515,351.648330118784,5507.80227752283,7564.87333747559,4852.31762381996,1679.60361313156,-83.7239582869066,-83.8476563547472,3.3,100,0.05,2,0,0.19,0,0.05,0.062,0.15,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TechnologyPolicy.Both",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,14,2123,236.474586661873,273.205601043261,56.3819498663569,132.660366419059,682.749445994627,1.02336869696295,1.16363823035867,0.537815524809696,1.20334287879435,233.907306293282,3.10301432528668,155.505008865063,0.916208164359711,0.462184475190304,1.17586445859201,160.811015101272,0.711106308777825,136.759822891346,0.0837918356402888,347.42031853858,1.60627243100763,0.191720994638985,0.643509665438308,1.66346736366971,121.546867244479,0.542855049424637,54.0706019999643,0.177745377329126,3.35649033456169,1.03560724292965,469.143621595967,2.07455309469737,453.013074984682,0.822254622670874,558.668446541842,4.46264466172081,0.25,0.25,0.25,0.25,1,4,304.435493338713,123.585563076779,-100,-100,744.074554005373,0.916949777864764,1,-4.82028076898502,-0.843365592441952,20.0103282781686,40.5157532221972,295.536619237962,5516.17258207598,7584.79539031025,4855.04539074582,1675.80044852743,-83.7238372668605,-83.847558141751,3.3,100,0.05,2,0,0.2,0.13,0.05,0.01,0.13,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+TraditionalGreenClimateFund+R&DS",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,16,2123,236.474570675206,273.205619978925,51.6593593316343,136.994171508917,644.392553519107,1.02336879083857,1.16363780338749,0.537815433602446,1.20334293653492,233.907267563986,3.10301381150383,155.50497565559,0.916208113923928,0.462184566397554,1.17586440714972,160.811047480963,0.71110645196082,136.759856411308,0.0837918860760718,347.42031992766,1.92212027533347,0.0935027224141668,0.342030140383144,1.95639696700792,48.1087212902523,0.216991500856406,24.5904701865435,0.113226256992079,3.65796985961686,1.01783275069428,514.516797459186,2.27519327836452,505.502300950941,0.886773743007921,562.384077915119,4.69714178496597,0.25,0.25,0.25,0.25,1,4,304.435495419265,125.278539730826,-100,-100,782.431446480894,0.900881522289187,1,-5.40724586829986,0.875248844513209,25.7215851376484,73.0665529869869,392.408264644011,5516.17265392413,7545.51460194994,4855.04546346158,1680.8347261726,-83.7239903430216,-83.8479281354611,3.3,100,0.05,2,0.01,0.2,0,0.05,0.01,0,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+CoR&DGreenClimateFund",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
2,18,2123,236.474570675206,273.205619978925,53.6095745171145,135.224805652305,661.784694368949,1.02336879083857,1.16363780338749,0.537815433602446,1.20334293653492,233.907267563986,3.10301381150383,155.50497565559,0.916208113923928,0.462184566397554,1.17586440714972,160.811047480963,0.71110645196082,136.759856411308,0.0837918860760718,347.42031992766,1.76166622974804,0.132511014367128,0.468025520939162,1.80571318428599,77.2528743007764,0.348444454361194,36.3651014607976,0.136714819152737,3.53197447906084,1.02500300783097,495.543283471757,2.19129239951211,483.455443238539,0.863285180847263,560.888226308204,4.59227207298388,0.25,0.25,0.25,0.25,1,4,304.435495419265,124.627681181694,-100,-100,765.039305631051,0.908465803453096,1,-5.15830069616999,0.873960090067084,23.5084062276815,73.042736225827,352.379680733192,5516.17265392413,7565.96881058956,4855.04546346158,1679.87223265684,-83.7239165288234,-83.8476004126677,3.3,100,0.05,2,0.01,0.2,0,0.05,0.01,0.15,5,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,100,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"Nordhaus+CoR&DGreenClimateFund+TecS",5581.72497741104,7743.66886020496,4973.87512737098,1725.09583033216,NA,NA,NA,0.97182531580755
